thumbnail,duration,title,date
https://pbs.twimg.com/ext_tw_video_thumb/1189274938122932227/pu/img/LhjUyUiAobOaxF78.jpg,1:44,Untitled,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1189274222109040647/pu/img/qPa2Zsh2Xi20KaR8.jpg,0:16,Untitled,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1189273283415416832/pu/img/7evykEMVywaYIUVA.jpg,2:20,Untitled,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1189270149423087618/pu/img/4ti_7T5TuYqiWjkp.jpg,1:54,Untitled,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1189268952033218562/pu/img/RVxefABVQTMMUwp7.jpg,1:49,Untitled,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1189245577177030656/pu/img/_kDiBW-dN6VkmwW3.jpg,0:07,didn’t want it to go like this,"Oct 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1183411739297308672/pu/img/oeVS7wgWO3Tn8D8r.jpg,0:06,Kamala waving,"Oct 13, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1183411301877501953/pu/img/1-zPGcc-ycqxvWua.jpg,0:06,Untitled,"Oct 13, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1180984257386287104/pu/img/sQ2ms2d4ts0tWZyz.jpg,0:03,Untitled,"Oct 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1180744820945559552/pu/img/3SMjeSjhNGj3Iywk.jpg,0:05,again a-fucking-gain,"Oct 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1179979512676802560/pu/img/hAzgXtCXx9VB_gwg.jpg,0:25,Untitled,"Oct 3, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1179956830375677952/pu/img/klzCmEdxpJ3KQSjX.jpg,0:17,Untitled,"Oct 3, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1178914673434996736/pu/img/opxGHYf5FINbAmg3.jpg,1:19,Untitled,"Oct 1, 2019"
